text_hash,text,thesis_class,severity,pred_baseline,conf_baseline,source_baseline,pred_var1,conf_var1,source_var1,pred_var2,conf_var2,overridden,var2_agent_label,is_holdout
478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,getConsolidationMatrix() returns null,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,Implement a way to reset the modelview matrix in Tilt,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,Don't show CDT actions for non-CDT projects,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,test_hover fails with integrated view manager hierarchies,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,[pdf.js] Accented characters are not displayed,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,Configurated policies are ignored,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,Segfault when closing content assist additional info,pausa,major,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,JSOP_IN doesn't intern its id,pausa,normal,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,Intel Mac should be detected as Hardware: PC rather than Hardware: Mac,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,[Min/Max] Adding a legacy fast view with a maximized part puts the view in the wrong stack,pausa,normal,pausa,0.7,deepseek_api,play,0.75,crewai_cache,pausa,0.85,True,play,0
22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,Generated equals() invalid if there's an 'Object' class in scope,play,minor,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
891204e5d79a672b85bf91ddd9e44998aee086e03b249c861d577cac64257e43,TI: [infer failure] Missing type in object #2 toString: string,pausa,normal,stop,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
