query_idx,text_hash,true_label,pred_label,confidence,latency_ms,source,tokens
0,478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,pausa,pausa,0.7,0.0,deepseek_api,150
1,aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,pausa,play,0.85,0.0,deepseek_api,150
2,607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,pausa,pausa,0.85,0.0,deepseek_cache,292
3,881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,pausa,pausa,0.75,0.0,deepseek_api,150
4,fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,pausa,pausa,0.85,0.0,deepseek_cache,269
5,5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,pausa,pausa,0.85,0.0,deepseek_cache,255
6,fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,pausa,stop,0.95,0.0,deepseek_api,150
7,b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,pausa,play,0.85,0.0,deepseek_cache,255
8,e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,pausa,play,0.85,0.0,deepseek_api,150
9,5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,pausa,pausa,0.7,0.0,deepseek_api,150
10,22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,play,pausa,0.85,0.0,deepseek_cache,275
11,891204e5d79a672b85bf91ddd9e44998aee086e03b249c861d577cac64257e43,pausa,stop,0.85,0.0,deepseek_api,150
12,b338ffcee9fc1b5900f6ceb469f1ae79c3bd706624c0fd475135ae3e8505de61,pausa,stop,0.85,0.0,deepseek_cache,313
13,b6f500f006ded41d74c32e874f55c87ea27a83cae1066ba78051ecad7845b3b5,pausa,stop,0.85,0.0,deepseek_cache,302
14,d1b96f0d8ecd18d908936f641166c3e5b797763ca4a64ca856f130be54938059,pausa,pausa,0.75,0.0,deepseek_api,150
15,a8f390c58560a8790d29008b21c3d1efd960c61c3185a95cd91f831f1803eb54,pausa,pausa,0.85,0.0,deepseek_cache,441
16,273d28147f5877244923e2b1e468eb4f672d700397b704b76c9b90f0879c040c,pausa,pausa,0.7,0.0,deepseek_api,150
17,6f8204499e80d326addffd697cd2de00a211b74b4f603f999d5d79ae419a0cc5,stop,stop,0.95,0.0,deepseek_cache,281
18,5d6d127b60e15cf454b53ab11f82a87670b61e0214fcbe5c4c4b039d607d9af8,pausa,pausa,0.7,0.0,deepseek_api,150
19,7464ceba6c66c69efc4e2a582a313e6949930137b2554321dcb0d95ca8467c10,stop,stop,0.95,0.0,deepseek_cache,286
20,7d68bec9a29b5d4c54101ba60f25e99d000774882359641a0e8eca4626578fd9,pausa,pausa,0.85,0.0,deepseek_cache,227
21,b9515602146a02e939bd94533e45ec82e9143cd378185e739a9318698b40026a,play,pausa,0.85,0.0,deepseek_cache,292
22,82c75117b7db95e720b017ba43a48d6f4a1a908b99ab25ad7c0f7291a53d78fc,stop,stop,0.95,0.0,deepseek_cache,255
23,4c631e2116428ab0797ec862b72535cd7c9a5aa8701d9eef13a6bae08d523eac,pausa,play,0.8,0.0,deepseek_api,150
24,0faabe2e1677cd1aaf654cd550fd1890fd43680d999b512a37b0a2b04c19f348,play,play,0.85,0.0,deepseek_cache,338
25,c2fe79b141e00c30134ef23b651121f0f9077334ebbcb7a7f8809c28bbec3e5a,stop,pausa,0.85,0.0,deepseek_cache,345
26,bf094bca985be3654a4b16cecaa14b594881d4ef78a494bde0d5fdafd657ae9c,pausa,pausa,0.95,0.0,deepseek_cache,252
27,e1867e00445421cccafe1a0e9c216044867a918307433adb63b52afa5b2722d9,pausa,stop,0.85,0.0,deepseek_api,150
28,127caefca4ae5bb454be4cb4419b5f6e75abb9e1a362f8e597a378082731cb71,pausa,pausa,0.7,0.0,deepseek_api,150
29,35c9d67b7076417a4166ebed22fbea7c8d7ea9ed0fbbabb1168cb91af3712cf2,pausa,pausa,0.7,0.0,deepseek_cache,304
